model,architecture,architecture_kind,model_deployment_policy,context_tokens,batch_size,feasible,stages,resident_users_required,max_batch_per_stage,official_packed_weight_bytes_per_step,deployed_weight_bytes_per_step,kv_read_bytes_per_user_token,kv_write_bytes_per_user_token,tensor_operations_per_user_token,step_interval_s,per_user_token_latency_s,aggregate_tokens_s,per_user_tokens_s,deployed_weight_read_bytes_s,kv_read_bytes_s,kv_write_bytes_s,hbm_total_bytes_s,rom_array_bytes_s,sram_weight_bytes_s,sram_kv_bytes_s,tensor_operations_s,partial_tco_per_million_tokens,power_w,binding_constraint
DeepSeek-V4-Flash-0731,NVIDIA-B300-x1,gpu,official_packed,8192,1,True,1,1,1489,11217572060.0,11217572060.0,28966912.0,50912.0,29539565568.0,0.002284678000613796,0.002284678000613796,437.6984414133381,437.6984414133381,4909913807103.809,12678772234.957321,22284103.04923587,4922614863441.815,0.0,0.0,0.0,12929421809140.707,0.9332201826969327,1812.5,gpu_weight_memory_C3
DeepSeek-V4-Flash-0731,NVIDIA-B300-x2,gpu,official_packed,8192,1,True,1,1,5669,11217572060.0,11217572060.0,28966912.0,50912.0,29539565568.0,0.0012524572100739467,0.0012524572100739467,798.4304708828804,798.4304708828804,8956451342028.443,23128065188.18296,40649692.13358921,8979620056908.76,0.0,0.0,0.0,23585289246133.96,1.0231799370338295,3625.0,gpu_weight_memory_C3
DeepSeek-V4-Flash-0731,NVIDIA-B300-x4,gpu,official_packed,8192,1,True,1,1,14031,11217572060.0,11217572060.0,28966912.0,50912.0,29539565568.0,0.0007694464355519648,0.0007694464355519648,1299.6356260753184,1299.6356260753184,14578756287243.1,37646430812.58865,66167048.99474661,14616468885104.684,0.0,0.0,0.0,38390671790960.6,1.2571801242335163,7250.0,gpu_weight_memory_C3
DeepSeek-V4-Flash-0731,NVIDIA-B300-x8,gpu,official_packed,8192,1,True,1,1,30755,11217572060.0,11217572060.0,28966912.0,50912.0,29539565568.0,0.0005984987077246812,0.0005984987077246812,1670.8473837841864,1670.8473837841864,18742850928861.586,48399289131.50675,85066182.0032205,18791335284175.098,0.0,0.0,0.0,49356105847414.234,1.9557454423482052,14500.0,gpu_weight_memory_C3
DeepSeek-V4-Flash-0731,NVIDIA-B300-x16,gpu,official_packed,8192,1,True,1,1,64201,11217572060.0,11217572060.0,28966912.0,50912.0,29539565568.0,0.0006855730267016749,0.0006855730267016749,1458.633815876696,1458.633815876696,16362329938749.607,42252117384.72446,74261964.83391434,16404656318099.166,0.0,0.0,0.0,43087409243791.7,4.480565471781961,29000.0,collective_floor_C6
DeepSeek-V4-Flash-0731,ROM-wafer-N4-class-HBM3e-conservative,rom,official_packed,8192,1,True,2,2,12058,11217572060.0,11217572060.0,28966912.0,50912.0,29539565568.0,0.00029992160654589384,0.0006001751330917877,3334.204599384141,1666.1803278128573,37401680356375.04,96581611220.35567,169751024.5638454,96751362244.91951,37401680356375.04,0.0,0.0,98490955380635.02,1.2482194203751653,30000.0,collective_floor_C6
DeepSeek-V4-Flash-0731,ROM-wafer-N4-class-HBM3e-central,rom,official_packed,8192,1,True,1,1,20904,11217572060.0,11217572060.0,28966912.0,50912.0,29539565568.0,6.927195473210142e-05,6.927195473210142e-05,14435.85652905776,14435.85652905776,161935260862526.9,418162185721.8416,734958327.6073887,418897144049.449,161935260862526.9,0.0,0.0,426428930470342.6,0.18334680535684852,15000.0,collective_floor_C6
DeepSeek-V4-Flash-0731,ROM-wafer-N4-class-HBM3e-aggressive,rom,official_packed,8192,1,True,1,1,29265,11217572060.0,11217572060.0,28966912.0,50912.0,29539565568.0,1.713442066556701e-05,1.713442066556701e-05,58362.05492547408,58362.05492547408,654680556696183.5,1690568509165.3743,2971328940.3657365,1693539838105.74,654680556696183.5,0.0,0.0,1723989748154259.0,0.04535083935225305,15000.0,collective_floor_C6
DeepSeek-V4-Flash-0731,NVIDIA-B300-x1,gpu,official_packed,8192,8,True,1,8,1489,33202065409.85159,33202065409.85159,28966912.0,50912.0,29539565568.0,0.007509899660695027,0.007509899660695026,1065.2605709061652,133.15757136327065,4421106394220.293,30857309214.508648,54234546.18597468,4452017937980.987,0.0,0.0,0.0,31467334481287.78,0.3834451688326862,1812.5,gpu_weight_memory_C3
DeepSeek-V4-Flash-0731,NVIDIA-B300-x2,gpu,official_packed,8192,8,True,1,8,5669,33202065409.85159,33202065409.85159,28966912.0,50912.0,29539565568.0,0.0038760184044653047,0.0038760184044653047,2063.9736877368096,257.9967109671012,8566023673056.27,59786944182.98764,105081028.39005645,8625915698267.647,0.0,0.0,0.0,60968886079528.24,0.39580835927207286,3625.0,gpu_weight_memory_C3
