model,architecture,architecture_kind,model_deployment_policy,context_tokens,batch_size,feasible,stages,resident_users_required,max_batch_per_stage,official_packed_weight_bytes_per_step,deployed_weight_bytes_per_step,kv_read_bytes_per_user_token,kv_write_bytes_per_user_token,tensor_operations_per_user_token,step_interval_s,per_user_token_latency_s,aggregate_tokens_s,per_user_tokens_s,deployed_weight_read_bytes_s,kv_read_bytes_s,kv_write_bytes_s,hbm_total_bytes_s,rom_array_bytes_s,sram_weight_bytes_s,sram_kv_bytes_s,tensor_operations_s,partial_tco_per_million_tokens,power_w,binding_constraint
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-packed-HBM-BF16-execute-x1,gpu,a100_packed_hbm_bf16_execute,8192,1,False,1,1,0,11217572060.0,11217572060.0,13148032.0,28577.84375,29539565568.0,0.008522549540288004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,400.0,capacity_C7_C8_C9
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-packed-HBM-BF16-execute-x2,gpu,a100_packed_hbm_bf16_execute,8192,1,False,1,1,0,11217572060.0,11217572060.0,13148032.0,28577.84375,29539565568.0,0.004497040499474185,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,800.0,capacity_C7_C8_C9
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-packed-HBM-BF16-execute-x4,gpu,a100_packed_hbm_bf16_execute,8192,1,True,1,1,3790,11217572060.0,11217572060.0,13148032.0,28577.84375,29539565568.0,0.002613807839682525,0.002613807839682525,382.5835950210711,382.5835950210711,4291659046122.7227,5030221350.012084,10933414.199825449,4296700200886.9346,0.0,0.0,0.0,11301353190366.088,1.8817308201806247,1600.0,gpu_weight_memory_C3
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-packed-HBM-BF16-execute-x8,gpu,a100_packed_hbm_bf16_execute,8192,1,True,1,1,12803,11217572060.0,11217572060.0,13148032.0,28577.84375,29539565568.0,0.0018005028201037573,0.001800502820103757,555.4004075052619,555.4004075052619,6230244093343.64,7302422330.692224,15872146.064371701,6237562387820.396,0.0,0.0,0.0,16406286753995.604,2.592433611204477,3200.0,gpu_weight_memory_C3
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-packed-HBM-BF16-execute-x16,gpu,a100_packed_hbm_bf16_execute,8192,1,True,1,1,30830,11217572060.0,11217572060.0,13148032.0,28577.84375,29539565568.0,0.0016136609139776863,0.0016136609139776866,619.7088814247799,619.7088814247799,6951629033604.464,8147952203.657211,17709943.583844636,6959794695751.705,0.0,0.0,0.0,18305931135919.223,4.6468228139088605,6400.0,gpu_weight_memory_C3
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-packed-HBM-BF16-execute-x32,gpu,a100_packed_hbm_bf16_execute,8192,1,True,1,1,66882,11217572060.0,11217572060.0,13148032.0,28577.84375,29539565568.0,0.001632986122378408,0.001632986122378408,612.3750755110657,612.3750755110657,6869361537293.32,8051527088.821908,17500359.224349685,6877430564741.366,0.0,0.0,0.0,18089293695268.074,9.40494635835182,12800.0,collective_floor_C6
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-packed-HBM-BF16-execute-x64,gpu,a100_packed_hbm_bf16_execute,8192,1,True,1,1,138987,11217572060.0,11217572060.0,13148032.0,28577.84375,29539565568.0,0.001850027874304944,0.001850027874304944,540.532396235219,540.532396235219,6063461105533.043,7106937242.737339,15447250.361423178,6070583490026.142,0.0,0.0,0.0,15967092160218.408,21.30993360060131,25600.0,collective_floor_C6
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-BF16-resident-x1,gpu,a100_bf16_expanded,8192,1,False,1,1,0,11217572060.0,26610834524.0,28966912.0,50912.0,29539565568.0,0.021317946897061194,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,400.0,capacity_C7_C8_C9
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-BF16-resident-x2,gpu,a100_bf16_expanded,8192,1,False,1,1,0,11217572060.0,26610834524.0,28966912.0,50912.0,29539565568.0,0.010964200786631767,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,800.0,capacity_C7_C8_C9
DeepSeek-V4-Flash-0731,NVIDIA-A100-SXM-80GB-BF16-resident-x4,gpu,a100_bf16_expanded,8192,1,False,1,1,0,11217572060.0,26610834524.0,28966912.0,50912.0,29539565568.0,0.00628639690356028,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1600.0,capacity_C7_C8_C9
