model,source_revision,context_tokens,batch_size,active_weight_read_bytes_per_step,routed_expert_coverage,kv_read_bytes_per_user_token,kv_write_bytes_per_user_token,kv_read_bytes_per_step,kv_total_bytes_per_step,weight_to_kv_read_ratio,weight_to_kv_read_write_ratio
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,8192,1,11217572060.0,0.0234375,28966912.0,50912.0,28966912.0,29017824.0,387.25467388446515,386.5752325191579
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,8192,8,33202065409.85159,0.17281938744697234,28966912.0,50912.0,231735296.0,232142592.0,143.27582367880458,143.02444512143464
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,8192,32,86037911455.85335,0.5318323645307802,28966912.0,50912.0,926941184.0,928570368.0,92.81917012746878,92.656318164843
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,8192,64,122681219131.22423,0.7808190650991598,28966912.0,50912.0,1853882368.0,1857140736.0,66.17529852423961,66.05919344349799
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,32768,1,11217572060.0,0.0234375,65929216.0,50912.0,65929216.0,65980128.0,170.14569170669344,170.0144028214071
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,32768,8,33202065409.85159,0.17281938744697234,65929216.0,50912.0,527433728.0,527841024.0,62.950212789295854,62.90163875146542
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,32768,32,86037911455.85335,0.5318323645307802,65929216.0,50912.0,2109734912.0,2111364096.0,40.78138488701909,40.749916899152076
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,32768,64,122681219131.22423,0.7808190650991598,65929216.0,50912.0,4219469824.0,4222728192.0,29.07503175717088,29.05259669889362
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,200000,1,11217572060.0,0.0234375,317456384.0,50912.0,317456384.0,317507296.0,35.33578981357011,35.330123752494806
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,200000,8,33202065409.85159,0.17281938744697234,317456384.0,50912.0,2539651072.0,2540058368.0,13.073475240716686,13.071378921105008
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,200000,32,86037911455.85335,0.5318323645307802,317456384.0,50912.0,10158604288.0,10160233472.0,8.469461848955657,8.468103778614955
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,200000,64,122681219131.22423,0.7808190650991598,317456384.0,50912.0,20317208576.0,20320466944.0,6.038291070956628,6.037322836592009
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,1000000,1,11217572060.0,0.0234375,1520656384.0,50912.0,1520656384.0,1520707296.0,7.376796084920128,7.3765491159976655
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,1000000,8,33202065409.85159,0.17281938744697234,1520656384.0,50912.0,12165251072.0,12165658368.0,2.7292544324276804,2.7291630592870177
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,1000000,32,86037911455.85335,0.5318323645307802,1520656384.0,50912.0,48661004288.0,48662633472.0,1.7681080099917017,1.7680488152240819
DeepSeek-V4-Flash-0731,7872f01b1d1fe23eabc4c98b48bffcef5a386062,1000000,64,122681219131.22423,0.7808190650991598,1520656384.0,50912.0,97322008576.0,97325266944.0,1.2605701518729024,1.2605279490454806
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,8192,1,39666603980.0,0.015624999999999998,57212928.0,72312.0,57212928.0,57285240.0,693.3153985756506,692.4402163628886
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,8192,8,124131495810.51216,0.11837356497016671,57212928.0,72312.0,457703424.0,458281920.0,271.2050845626013,270.8627384002235
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,8192,32,352239449751.31995,0.3958588540383072,57212928.0,72312.0,1830813696.0,1833127680.0,192.39502660532858,192.15216353686827
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,8192,64,548837516692.9358,0.6350134757560926,57212928.0,72312.0,3661627392.0,3666255360.0,149.88895863408916,149.69975159966376
DeepSeek-V4-Pro-0813,72e1d3230f6c080a530b0a1d46f8eb4602340597,32768,1,39666603980.0,0.015624999999999998,110493696.0,72312.0,110493696.0,110566008.0,358.99427221621767,358.759484017909
