model,batch_size,tiles_per_reticle,local_topology,mesh_link_bytes_per_cycle,mesh_wire_cycles,broadcast_cycles,reduction_cycles,collective_cycles,collective_latency_s,serialization_lower_bound_cycles,local_depth,wafer_mesh_depth,tiles_total,critical_link_utilization
DeepSeek-V4-Flash-0731,1,16,exchange,128,1,109,182,291,2.91e-07,192,4,14,1024,0.6597938144329897
DeepSeek-V4-Flash-0731,1,16,exchange,128,2,123,196,319,3.19e-07,192,4,14,1024,0.6018808777429467
DeepSeek-V4-Flash-0731,1,16,exchange,128,4,151,224,375,3.75e-07,192,4,14,1024,0.512
DeepSeek-V4-Flash-0731,1,16,exchange,256,1,109,182,291,2.91e-07,96,4,14,1024,0.32989690721649484
DeepSeek-V4-Flash-0731,1,16,exchange,256,2,123,196,319,3.19e-07,96,4,14,1024,0.30094043887147337
DeepSeek-V4-Flash-0731,1,16,exchange,256,4,151,224,375,3.75e-07,96,4,14,1024,0.256
DeepSeek-V4-Flash-0731,1,16,exchange,512,1,109,182,291,2.91e-07,48,4,14,1024,0.16494845360824742
DeepSeek-V4-Flash-0731,1,16,exchange,512,2,123,196,319,3.19e-07,48,4,14,1024,0.15047021943573669
DeepSeek-V4-Flash-0731,1,16,exchange,512,4,151,224,375,3.75e-07,48,4,14,1024,0.128
DeepSeek-V4-Flash-0731,1,16,mesh,128,1,124,188,312,3.12e-07,192,6,14,1024,0.6153846153846154
DeepSeek-V4-Flash-0731,1,16,mesh,128,2,138,202,340,3.4e-07,192,6,14,1024,0.5647058823529412
DeepSeek-V4-Flash-0731,1,16,mesh,128,4,166,230,396,3.96e-07,192,6,14,1024,0.48484848484848486
DeepSeek-V4-Flash-0731,1,16,mesh,256,1,124,188,312,3.12e-07,96,6,14,1024,0.3076923076923077
DeepSeek-V4-Flash-0731,1,16,mesh,256,2,138,202,340,3.4e-07,96,6,14,1024,0.2823529411764706
DeepSeek-V4-Flash-0731,1,16,mesh,256,4,166,230,396,3.96e-07,96,6,14,1024,0.24242424242424243
DeepSeek-V4-Flash-0731,1,16,mesh,512,1,124,188,312,3.12e-07,48,6,14,1024,0.15384615384615385
DeepSeek-V4-Flash-0731,1,16,mesh,512,2,138,202,340,3.4e-07,48,6,14,1024,0.1411764705882353
DeepSeek-V4-Flash-0731,1,16,mesh,512,4,166,230,396,3.96e-07,48,6,14,1024,0.12121212121212122
DeepSeek-V4-Flash-0731,1,64,exchange,128,1,109,188,297,2.97e-07,192,6,14,4096,0.6464646464646465
DeepSeek-V4-Flash-0731,1,64,exchange,128,2,123,202,325,3.25e-07,192,6,14,4096,0.5907692307692308
DeepSeek-V4-Flash-0731,1,64,exchange,128,4,151,230,381,3.81e-07,192,6,14,4096,0.5039370078740157
DeepSeek-V4-Flash-0731,1,64,exchange,256,1,109,188,297,2.97e-07,96,6,14,4096,0.32323232323232326
DeepSeek-V4-Flash-0731,1,64,exchange,256,2,123,202,325,3.25e-07,96,6,14,4096,0.2953846153846154
DeepSeek-V4-Flash-0731,1,64,exchange,256,4,151,230,381,3.81e-07,96,6,14,4096,0.25196850393700787
DeepSeek-V4-Flash-0731,1,64,exchange,512,1,109,188,297,2.97e-07,48,6,14,4096,0.16161616161616163
