family,design,model,context_tokens,batch_size,device_count,topology_kind,parallelism,link,intra_link,intra_domain_size,tensor_group,pipeline_stages,link_latency_s,link_share_of_step,node,weight_store,kv_store,weight_amortization,silicon_area_mm2,silicon_area_mm2_per_device,feasible,per_user_tokens_s,aggregate_tokens_s,delivered_tokens_s,per_user_tokens_s_throughput_view,latency_correction_x,token_slots,microbatch_per_slot,pipeline_fill_users,pipeline_fill_limited_by,step_time_s,binding_constraint,power_w,static_power_w,static_power_fraction_of_total,power_density_w_per_mm2,power_headroom_fraction,cooling_limit_w,energy_j_per_token,thermal_scale,stored_weight_bytes,engaged_weight_bytes,engaged_weight_fraction,expert_coverage,resident_kv_bytes,max_resident_users,weight_to_kv_read_ratio,execution_format,hop_events_per_token,rom_sweep_ceiling_tokens_s
rom,Qwen3-8B/ROM-N5-native-SRAMKV-array-pipeline-x5,Qwen3-8B,8192,1,5,array,pipeline,infiniband_ndr,nvlink5,8,1,5,4.836408888888888e-06,0.023809474663444075,N5,rom,sram,batched,4075.0,815.0,True,4922.9656156955,4922.9656156955,4922.9656156955,20019.985206539222,4.0666514392688615,5.0,1.0,1.0,kv_capacity,0.00020312959262030583,weight_read,396.3938132075705,331.8709551213095,0.8372253654411257,0.09727455538836086,0.1945491107767217,2037.5,0.0805193137940634,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,1207959552.0,1.0,12.530892266167534,bf16,4.0,5802.923076923075
rom,Qwen3-8B/ROM-N5-native-SRAMKV-array-pipeline-x5,Qwen3-8B,8192,2,5,array,pipeline,infiniband_ndr,nvlink5,8,1,5,4.836408888888888e-06,0.023809474663444075,N5,rom,sram,batched,4075.0,815.0,False,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,kv_capacity,0.00020312959262030583,capacity_or_format,460.9166712938315,331.8709551213095,0.7200237608887526,0.11310838559357828,0.22621677118715655,2037.5,0.0468129078359117,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,2415919104.0,1.0,12.530892266167534,bf16,4.0,5802.923076923075
rom,Qwen3-8B/ROM-N5-native-SRAMKV-array-pipeline-x5,Qwen3-8B,8192,4,5,array,pipeline,infiniband_ndr,nvlink5,8,1,5,4.836408888888888e-06,0.023809474663444075,N5,rom,sram,batched,4075.0,815.0,False,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,kv_capacity,0.00020312959262030583,capacity_or_format,589.9623874663534,331.8709551213095,0.5625290055295884,0.14477604600401311,0.28955209200802623,2037.5,0.02995970485683585,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,4831838208.0,1.0,12.530892266167534,bf16,4.0,5802.923076923075
rom,Qwen3-8B/ROM-N5-native-SRAMKV-array-pipeline-x5,Qwen3-8B,8192,8,5,array,pipeline,infiniband_ndr,nvlink5,8,1,5,4.858254222222222e-06,0.016628151391363907,N5,rom,sram,batched,4075.0,815.0,False,0.0,0.0,0.0,0.0,1.0,5.0,1.6,8.0,kv_capacity,0.0002921704348172722,capacity_or_format,642.5621475460732,331.8709551213095,0.5164807114591411,0.15768396258799341,0.31536792517598683,2037.5,0.023467207755707053,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,9663676416.0,1.0,7.831807666354709,bf16,4.0,5802.923076923075
rom,Qwen3-8B/ROM-N5-native-SRAMKV-array-pipeline-x5,Qwen3-8B,8192,16,5,array,pipeline,infiniband_ndr,nvlink5,8,1,5,4.916508444444444e-06,0.008584457834361818,N5,rom,sram,batched,4075.0,815.0,False,0.0,0.0,0.0,0.0,1.0,5.0,3.2,16.0,kv_capacity,0.000572722068103669,capacity_or_format,607.8992650314219,331.8709551213095,0.5459308379064339,0.1491777337500422,0.2983554675000844,2037.5,0.021759832766718522,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,19327352832.0,1.0,3.9159038331773544,bf16,4.0,5802.923076923075
rom,Qwen3-8B/ROM-N5-native-SRAMKV-array-pipeline-x5,Qwen3-8B,8192,32,5,array,pipeline,infiniband_ndr,nvlink5,8,1,5,5.0330168888888884e-06,0.004438970214336463,N5,rom,sram,batched,4075.0,815.0,False,0.0,0.0,0.0,0.0,1.0,5.0,6.4,32.0,kv_capacity,0.0011338253346764625,capacity_or_format,590.0350153157184,331.8709551213095,0.5624597634154486,0.14479386878913336,0.2895877375782667,2037.5,0.020906145272224255,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,38654705664.0,1.0,1.9579519165886772,bf16,4.0,5802.923076923075
rom,Qwen3-8B/ROM-N5-native-SRAMKV-array-pipeline-x5,Qwen3-8B,8192,64,5,array,pipeline,infiniband_ndr,nvlink5,8,1,5,5.266033777777778e-06,0.002334201858088802,N5,rom,sram,batched,4075.0,815.0,False,0.0,0.0,0.0,0.0,1.0,5.0,12.8,64.0,kv_capacity,0.0022560318678220494,capacity_or_format,580.9648863089192,331.8709551213095,0.5712409870927074,0.14256807025985746,0.2851361405197149,2037.5,0.020479301524977116,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,77309411328.0,1.0,0.9789759582943386,bf16,4.0,5802.923076923075
rom,Qwen3-8B/ROM-N5-native-SRAMKV-array-pipeline-x5,Qwen3-8B,8192,256,5,array,pipeline,infiniband_ndr,nvlink5,8,1,5,6.664135111111111e-06,0.0007413432147797971,N5,rom,sram,batched,4075.0,815.0,False,0.0,0.0,0.0,0.0,1.0,5.0,51.2,256.0,kv_capacity,0.008989271066695571,capacity_or_format,574.1007421661574,331.8709551213095,0.5780709390291273,0.14088361770948649,0.28176723541897297,2037.5,0.020159168714541768,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,309237645312.0,1.0,0.24474398957358465,bf16,4.0,5802.923076923075
rom,Qwen3-8B/ROM-N5-native-SRAMKV-wafer-pipeline-x1,Qwen3-8B,8192,1,1,wafer,pipeline,inter_wafer,on_wafer_n5,57,1,36,4.375010718504672e-06,0.0022143869386947053,N5,rom,sram,batched,46225.0,46225.0,True,506.1443459620956,506.1443459620956,506.1443459620956,21901.390674882303,43.27103690796235,57.0,1.0,1.0,kv_capacity,0.0019757209736269354,weight_read,6450.254736942079,6443.62095512131,0.9989715473122672,0.1395403945255182,0.2790807890510364,23112.5,12.743903569012957,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,1207959552.0,1.0,12.530892266167534,bf16,35.0,509.02834008097153
rom,Qwen3-8B/ROM-N5-native-SRAMKV-wafer-pipeline-x1,Qwen3-8B,8192,2,1,wafer,pipeline,inter_wafer,on_wafer_n5,57,1,36,4.375010718504672e-06,0.0022143869386947053,N5,rom,sram,batched,46225.0,46225.0,False,0.0,0.0,0.0,0.0,1.0,57.0,1.0,2.0,kv_capacity,0.0019757209736269354,capacity_or_format,6456.888518762849,6443.62095512131,0.9979452078810117,0.13968390521931529,0.27936781043863057,23112.5,6.378505035445358,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,2415919104.0,1.0,12.530892266167534,bf16,35.0,509.02834008097153
