family,design,model,context_tokens,batch_size,device_count,topology_kind,parallelism,link,intra_link,intra_domain_size,tensor_group,pipeline_stages,link_latency_s,link_share_of_step,node,weight_store,kv_store,weight_amortization,silicon_area_mm2,silicon_area_mm2_per_device,feasible,per_user_tokens_s,aggregate_tokens_s,delivered_tokens_s,per_user_tokens_s_throughput_view,latency_correction_x,token_slots,microbatch_per_slot,pipeline_fill_users,pipeline_fill_limited_by,step_time_s,binding_constraint,power_w,thermal_scale,stored_weight_bytes,engaged_weight_bytes,engaged_weight_fraction,expert_coverage,resident_kv_bytes,max_resident_users,weight_to_kv_read_ratio,execution_format,hop_events_per_token,rom_sweep_ceiling_tokens_s
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x3,Qwen3-8B,8192,1,3,array,pipeline,infiniband_hdr,nvlink3,8,1,3,3.0546133333333332e-06,0.008573794637723182,N6,rom,sram,batched,2445.0,815.0,True,2806.8346799125197,8420.50403973756,2806.8346799125197,8019.759848934183,2.8572255809466247,3.0,1.0,3.0,pipeline_slots,0.00035627320951840555,compute,86.64861688626402,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,1207959552.0,0.0,12.530892266167534,bf16,2.0,4354.285714285715
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x3,Qwen3-8B,8192,2,3,array,pipeline,infiniband_hdr,nvlink3,8,1,3,3.0546133333333332e-06,0.008573794637723182,N6,rom,sram,batched,2445.0,815.0,False,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,pipeline_slots,0.00035627320951840555,capacity_or_format,86.64861688626402,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,2415919104.0,0.0,12.530892266167534,bf16,2.0,4354.285714285715
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x3,Qwen3-8B,8192,4,3,array,pipeline,infiniband_hdr,nvlink3,8,1,3,3.072817777777778e-06,0.0065090761742478435,N6,rom,sram,batched,2445.0,815.0,False,0.0,0.0,0.0,0.0,1.0,3.0,1.3333333333333333,4.0,batch,0.0004720820121809156,capacity_or_format,71.15790917770963,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,4831838208.0,0.0,9.39816919962565,bf16,2.0,4354.285714285715
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x3,Qwen3-8B,8192,8,3,array,pipeline,infiniband_hdr,nvlink3,8,1,3,3.1456355555555557e-06,0.003363175058441195,N6,rom,sram,batched,2445.0,815.0,False,0.0,0.0,0.0,0.0,1.0,3.0,2.6666666666666665,8.0,batch,0.0009353172228309557,capacity_or_format,47.55554617905181,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,9663676416.0,0.0,4.699084599812825,bf16,2.0,4354.285714285715
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x3,Qwen3-8B,8192,16,3,array,pipeline,infiniband_hdr,nvlink3,8,1,3,3.2912711111111113e-06,0.001767801565063704,N6,rom,sram,batched,2445.0,815.0,False,0.0,0.0,0.0,0.0,1.0,3.0,5.333333333333333,16.0,batch,0.0018617876441310358,capacity_or_format,35.58613489656232,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,19327352832.0,0.0,2.3495422999064126,bf16,2.0,4354.285714285715
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x3,Qwen3-8B,8192,32,3,array,pipeline,infiniband_hdr,nvlink3,8,1,3,3.582542222222222e-06,0.0009644156322646093,N6,rom,sram,batched,2445.0,815.0,False,0.0,0.0,0.0,0.0,1.0,3.0,10.666666666666666,32.0,batch,0.003714728486731196,capacity_or_format,29.558670676957473,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,38654705664.0,0.0,1.1747711499532063,bf16,2.0,4354.285714285715
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x3,Qwen3-8B,8192,64,3,array,pipeline,infiniband_hdr,nvlink3,8,1,3,4.165084444444444e-06,0.0005612859789076227,N6,rom,sram,batched,2445.0,815.0,False,0.0,0.0,0.0,0.0,1.0,3.0,21.333333333333332,64.0,batch,0.007420610171931517,capacity_or_format,26.5341597137084,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,77309411328.0,0.0,0.5873855749766032,bf16,2.0,4354.285714285715
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x3,Qwen3-8B,8192,256,3,array,pipeline,infiniband_hdr,nvlink3,8,1,3,7.660337777777778e-06,0.0002583073757546499,N6,rom,sram,batched,2445.0,815.0,False,0.0,0.0,0.0,0.0,1.0,3.0,85.33333333333333,256.0,batch,0.029655900283133443,capacity_or_format,24.2610396412076,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,309237645312.0,0.0,0.1468463937441508,bf16,2.0,4354.285714285715
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x4,Qwen3-8B,8192,1,4,array,pipeline,infiniband_hdr,nvlink3,8,1,4,4.58192e-06,0.013066412272902119,N6,rom,sram,batched,3260.0,815.0,True,2851.732957559739,2851.732957559739,2851.732957559739,10472.57125668042,3.672353411955487,4.0,1.0,1.0,kv_capacity,0.0003506639699026067,weight_read,29.344884265292478,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,1207959552.0,1.0,12.530892266167534,bf16,3.0,3265.7142857142862
rom,Qwen3-8B/ROM-N6-native-SRAMKV-array-pipeline-x4,Qwen3-8B,8192,2,4,array,pipeline,infiniband_hdr,nvlink3,8,1,4,4.58192e-06,0.013066412272902119,N6,rom,sram,batched,3260.0,815.0,False,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,kv_capacity,0.0003506639699026067,capacity_or_format,58.689768530584956,1.0,16381470720,15136811008.0,0.9240202706292784,1.0,2415919104.0,1.0,12.530892266167534,bf16,3.0,3265.7142857142862
