
15. Printing statistics.

=== ot_a3_attention_softmax_block ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
    88578        - wires
    88578        - wire bits
     4539        - public wires
     4539        - public wire bits
     4302        - ports
     4302        - port bits
    86360  1.1E+04 cells
     6298  550.949   AND2x2_ASAP7_75t_R
     1966  171.986   AND3x1_ASAP7_75t_R
      607    61.95   AND4x1_ASAP7_75t_R
      282   32.892   AND5x1_ASAP7_75t_R
       44   10.264   AO211x2_ASAP7_75t_R
    10865   950.47   AO21x1_ASAP7_75t_R
      271   39.512   AO221x1_ASAP7_75t_R
       84   14.697   AO222x2_ASAP7_75t_R
     1277  167.568   AO22x1_ASAP7_75t_R
       21    4.899   AO31x2_ASAP7_75t_R
     1020  118.973   AO32x1_ASAP7_75t_R
       30    4.374   AO33x2_ASAP7_75t_R
      144   25.194   AOI211x1_ASAP7_75t_R
     1828  213.218   AOI21x1_ASAP7_75t_R
       16    3.266   AOI221x1_ASAP7_75t_R
      154   22.453   AOI22x1_ASAP7_75t_R
     6821 2.59E+03   DFFASRHQNx1_ASAP7_75t_R
      490  142.884   DFFHQNx1_ASAP7_75t_R
     7089  310.073   INVx1_ASAP7_75t_R
     1761  231.078   MAJx2_ASAP7_75t_R
     7477  654.088   NAND2x1_ASAP7_75t_R
      695  111.464   NAND3x1_ASAP7_75t_R
     5129  448.685   NOR2x1_ASAP7_75t_R
      139   22.293   NOR3x1_ASAP7_75t_R
      913  106.492   OA211x2_ASAP7_75t_R
     3026  308.834   OA21x2_ASAP7_75t_R
        5    1.166   OA221x2_ASAP7_75t_R
       37    6.474   OA222x2_ASAP7_75t_R
      354   51.613   OA22x2_ASAP7_75t_R
       49   10.716   OA31x2_ASAP7_75t_R
        7    1.021   OA33x2_ASAP7_75t_R
     3298  384.679   OAI21x1_ASAP7_75t_R
     3016  439.733   OAI22x1_ASAP7_75t_R
     4598  402.233   OR2x2_ASAP7_75t_R
     1334  116.698   OR3x1_ASAP7_75t_R
     2511  256.273   OR4x1_ASAP7_75t_R
      417   48.639   OR5x1_ASAP7_75t_R
     8632   1384.4   XNOR2x2_ASAP7_75t_R
     3655  586.189   XOR2x2_ASAP7_75t_R

   Chip area for module '\ot_a3_attention_softmax_block': 11004.094620
     of which used for sequential elements: 2728.588680 (24.80%)

