study_slice,model,scenario,architecture,window_frames,cache_mode,clip_duration_s,denoise_calls,attention_density,noc_critical_cut_fraction,cache_remote_fraction,rom_row_reuse,tensor_operations,weight_read_bytes,mutable_hbm_bytes,rom_latency_s,same_compute_hbm_latency_s,rom_storage_speedup,generated_rate_fps,real_time_factor,main_compute_service_s,main_immutable_service_s,main_mutable_service_s,main_storage_service_s,main_noc_serialization_floor_s,main_largest_modeled_term
baseline,Oasis-500M-public-code,reference_recompute-W1,ROM-wafer-N4-class-HBM3e-conservative,1,reference_recompute,,,,0.5,0.0,whole_call,1369485856768,12463683168,0.0,0.001075755049590134,0.0015752785259525695,1.4643468571704643,929.5796476911758,0.021515100991802677,0.0007068487506966364,2.311522153369774e-05,0.0,2.311522153369774e-05,0.00022075284210526316,compute
baseline,Oasis-500M-public-code,reference_recompute-W1,ROM-wafer-N4-class-HBM3e-central,1,reference_recompute,,,,0.5,0.0,whole_call,1369485856768,12463683168,0.0,0.0004386380231594931,0.000839516942952778,1.913917395728189,2279.784120849893,0.00877276046318986,0.00014048998334347229,5.656646426876059e-06,0.0,5.656646426876059e-06,0.00023937662337662337,noc_serialization_floor
baseline,Oasis-500M-public-code,reference_recompute-W1,ROM-wafer-N4-class-HBM3e-aggressive,1,reference_recompute,,,,0.5,0.0,whole_call,1369485856768,12463683168,0.0,0.00019078756128448784,0.0004464014499204152,2.3397827767963104,5241.43184842578,0.003815751225689757,6.280583241934625e-05,2.3554407016980226e-06,0.0,2.3554407016980226e-06,0.0001024,noc_serialization_floor
baseline,Oasis-500M-public-code,causal_kv_cache-W1,ROM-wafer-N4-class-HBM3e-conservative,1,causal_kv_cache,,,,0.5,0.0,whole_call,1487265634304,13679570656,9437184.0,0.0011685152088703242,0.0017189273659418906,1.4710355097591616,855.7868929808468,0.023370304177406483,0.0007775336257663002,2.542674368706751e-05,9.363330728875992e-07,2.542674368706751e-05,0.00024282812631578948,compute
baseline,Oasis-500M-public-code,causal_kv_cache-W1,ROM-wafer-N4-class-HBM3e-central,1,causal_kv_cache,,,,0.5,0.0,whole_call,1487265634304,13679570656,9437184.0,0.00047662468383150264,0.0009180116823402412,1.9260682744345206,2098.086888746874,0.009532493676630052,0.0001545389816778195,6.222311069563665e-06,4.2018673612502505e-07,6.222311069563665e-06,0.00026331428571428573,noc_serialization_floor
baseline,Oasis-500M-public-code,causal_kv_cache-W1,ROM-wafer-N4-class-HBM3e-aggressive,1,causal_kv_cache,,,,0.5,0.0,whole_call,1487265634304,13679570656,9437184.0,0.00020730814452642247,0.0004887305654110406,2.3575077888401506,4823.737158443117,0.004146162890528449,6.908641566128088e-05,2.590984771867825e-06,2.471433850980866e-07,2.590984771867825e-06,0.00011264,noc_serialization_floor
baseline,Oasis-500M-public-code,reference_recompute-W8,ROM-wafer-N4-class-HBM3e-conservative,8,reference_recompute,,,,0.5,0.0,whole_call,9616712695808,12463683168,0.0,0.007570552027705415,0.007570552027705415,1.0,132.09076383602815,0.15141104055410828,0.005656375834075075,2.311522153369774e-05,0.0,2.311522153369774e-05,0.0017660227368421052,compute
baseline,Oasis-500M-public-code,reference_recompute-W8,ROM-wafer-N4-class-HBM3e-central,8,reference_recompute,,,,0.5,0.0,whole_call,9616712695808,12463683168,0.0,0.003098019462127162,0.003098019462127162,1.0,322.78686826369386,0.06196038924254324,0.0011242350586747778,5.656646426876059e-06,0.0,5.656646426876059e-06,0.001915012987012987,noc_serialization_floor
baseline,Oasis-500M-public-code,reference_recompute-W8,ROM-wafer-N4-class-HBM3e-aggressive,8,reference_recompute,,,,0.5,0.0,whole_call,9616712695808,12463683168,0.0,0.0013473692942893405,0.0013473692942893405,1.0,742.1870189846076,0.02694738588578681,0.000502587565424199,2.3554407016980226e-06,0.0,2.3554407016980226e-06,0.0008192,noc_serialization_floor
baseline,Oasis-500M-public-code,causal_kv_cache-W8,ROM-wafer-N4-class-HBM3e-conservative,8,causal_kv_cache,,,,0.5,0.0,whole_call,1487992297472,13679570656,736100352.0,0.0011689513117083695,0.0017910250125542358,1.5321639101775195,855.4676229744293,0.023379026234167388,0.0007779697286043456,2.542674368706751e-05,7.303397968523274e-05,7.303397968523274e-05,0.00024282812631578948,compute
